carbon_category,recipe_count,recipe_ratio,keywords,example_ingredients
vegetables,136514,0.5893445347677616,"tomato, onion, carrot, spinach, broccoli, mushroom, lettuce, cabbage, pepper, potato",prepared pizza crust | sausage patty | eggs | milk | salt and pepper | cheese || ground beef | yellow onions | diced tomatoes | tomato paste | tomato soup | rotel tomatoes | kidney beans | water | chili powder | ground cumin | salt || spreadable cheese with garlic and herbs | new potatoes | shallots | parsley | tarragon | olive oil | red wine vinegar | salt | pepper | red bell peppe || tomato juice | apple cider vinegar | sugar | salt | pepper | clove oil | cinnamon oil | dry mustard || fennel seeds | green olives | ripe olives | garlic | peppercorn | orange rind | orange juice | red chile | extra virgin olive oil
rice_pasta,92932,0.40119670000906593,"rice, pasta, noodle, noodles, bread, flour",sugar | unsalted butter | bananas | eggs | fresh lemon juice | orange rind | cake flour | baking soda | salt || lean pork chops | flour | salt | dry mustard | garlic powder | oil | chicken rice soup || butterscotch chips | chinese noodles | salted peanuts || boneless skinless chicken breast halves | condensed cream of chicken soup | egg | seasoning salt | all-purpose flour | cornstarch | garlic powder | pa || all-purpose flour | granulated sugar | baking powder | salt | vanilla extract | egg | milk | vegetable oil | bread | brown sugar | ground cinnamon | b
egg,62813,0.2711699771625431,"egg, eggs",prepared pizza crust | sausage patty | eggs | milk | salt and pepper | cheese || sugar | unsalted butter | bananas | eggs | fresh lemon juice | orange rind | cake flour | baking soda | salt || vanilla wafers | butter | powdered sugar | eggs | whipping cream | strawberry | walnuts || egg roll wrap | whole green chilies | cheese | cornstarch | oil || boneless skinless chicken breast halves | condensed cream of chicken soup | egg | seasoning salt | all-purpose flour | cornstarch | garlic powder | pa
fruit,61256,0.26444825308564696,"apple, banana, orange, lemon, berry, strawberry, blueberry",tomato juice | apple cider vinegar | sugar | salt | pepper | clove oil | cinnamon oil | dry mustard || milk | vanilla ice cream | frozen apple juice concentrate | apple || fennel seeds | green olives | ripe olives | garlic | peppercorn | orange rind | orange juice | red chile | extra virgin olive oil || pork spareribs | soy sauce | fresh garlic | fresh ginger | chili powder | fresh coarse ground black pepper | salt | fresh cilantro leaves | tomato sau || chocolate sandwich style cookies | chocolate syrup | vanilla ice cream | bananas | strawberry ice cream | whipped cream
cheese,60980,0.2632567335961008,"cheese, cheddar, mozzarella, parmesan, cream cheese",prepared pizza crust | sausage patty | eggs | milk | salt and pepper | cheese || ground beef | yellow onions | diced tomatoes | tomato paste | tomato soup | rotel tomatoes | kidney beans | water | chili powder | ground cumin | salt || spreadable cheese with garlic and herbs | new potatoes | shallots | parsley | tarragon | olive oil | red wine vinegar | salt | pepper | red bell peppe || egg roll wrap | whole green chilies | cheese | cornstarch | oil || beef stew meat | water | tomatoes | beef bouillon cube | onion | dried parsley | salt | ground thyme | ground pepper | zucchini | cabbage | garbanzo b
chicken,39801,0.1718248811718335,"chicken, turkey, poultry",great northern bean | chicken bouillon cubes | dark brown sugar | molasses | cornstarch | onion | garlic powder | mustard powder | chili powder | salt || lean pork chops | flour | salt | dry mustard | garlic powder | oil | chicken rice soup || boneless skinless chicken breast halves | condensed cream of chicken soup | egg | seasoning salt | all-purpose flour | cornstarch | garlic powder | pa || unsalted butter | carrot | onion | celery | broccoli stem | dried thyme | dried oregano | dried sweet basil leaves | dry white wine | chicken stock |  || low sodium chicken broth | diced tomatoes | zucchini | corn | potatoes | wax beans | green beans | carrots
pork,30150,0.13016055293411674,"pork, bacon, ham, sausage, pepperoni",prepared pizza crust | sausage patty | eggs | milk | salt and pepper | cheese || pork spareribs | soy sauce | fresh garlic | fresh ginger | chili powder | fresh coarse ground black pepper | salt | fresh cilantro leaves | tomato sau || great northern bean | chicken bouillon cubes | dark brown sugar | molasses | cornstarch | onion | garlic powder | mustard powder | chili powder | salt || collard greens | brown sugar | molasses | hot sauce | whiskey | ham hock | salt || lean pork chops | flour | salt | dry mustard | garlic powder | oil | chicken rice soup
tofu_beans,22286,0.09621088168125126,"tofu, beans, bean, lentils, lentil, chickpea, peas",ground beef | yellow onions | diced tomatoes | tomato paste | tomato soup | rotel tomatoes | kidney beans | water | chili powder | ground cumin | salt || great northern bean | chicken bouillon cubes | dark brown sugar | molasses | cornstarch | onion | garlic powder | mustard powder | chili powder | salt || canola oil | onion | garlic | cauliflower | potatoes | vegetable bouillon cubes | water | salt free herb and spice seasoning mix | ground coriander |  || vegetarian ground beef | garlic | onion | jalapenos | green pepper | celery | kidney beans | diced tomatoes | chili powder | black pepper | salt | red || beef stew meat | water | tomatoes | beef bouillon cube | onion | dried parsley | salt | ground thyme | ground pepper | zucchini | cabbage | garbanzo b
beef,20766,0.08964889028954787,"beef, steak, ground beef, sirloin",ground beef | yellow onions | diced tomatoes | tomato paste | tomato soup | rotel tomatoes | kidney beans | water | chili powder | ground cumin | salt || celery | onion | ground pork | soy sauce | beef broth | cooking oil | hamburger buns || vegetarian ground beef | garlic | onion | jalapenos | green pepper | celery | kidney beans | diced tomatoes | chili powder | black pepper | salt | red || beef stew meat | water | tomatoes | beef bouillon cube | onion | dried parsley | salt | ground thyme | ground pepper | zucchini | cabbage | garbanzo b || ground beef | onion | tomato sauce | taco sauce | salt | pepper | tabasco sauce | hot chili pepper | cornmeal | whole kernel corn | sliced ripe olives
fish,11933,0.05151594952447148,"fish, salmon, tuna, cod, shrimp",light olive oil | red wine vinegar | garlic | salt | fresh basil | black pepper | white kidney beans | albacore tuna in water | scallions | red sweet  || cream cheese | salmon | salt | lemon juice | onions | liquid smoke || fish | scallions | rice wine | peanut oil | sesame oil | white pepper | salt | gingerroot | low sodium soy sauce || vegetable oil | all-purpose flour | onion | green bell pepper | celery | creole seasoning | garlic cloves | low sodium chicken broth | cooked chicken  || heavy whipping cream | basil | parsley | garlic | lemon juice | parmesan-romano cheese mix | parmesan cheese | butter | cajun spices | salt | white pe
lamb,1580,0.00682101736769169,"lamb, mutton",lamb chops | olive oil | fresh rosemary | fresh oregano | dill | salt | pepper | rye flour | fresh mozzarella cheese | tomatoes || boneless lamb shoulder | flour | baby potatoes | baby carrots | parsnips | sweet onion | garlic clove | salt | pepper | lamb broth | green peas | cabb || eggplant | beef broth | onion | garlic cloves | ground lamb | reduced-fat feta cheese | fresh parsley | of fresh mint | margarine | flour | skim milk  || boneless leg of lamb | vinegar | garlic clove | of fresh mint | sugar | white wine || hummus | ground lamb | red onion | cucumber | tomatoes | tzatziki | kalamata olive | of fresh mint
